"Species name";"Taxonomic group";"Environment";"Pathway: main category
(according to CBD scheme)";"Pathway: subcategory 
(according to CBD scheme)";"Pathway: intentionality ";"Source of the record:
D = DAISIE
G = GISD/IASPMR";"Record concerns overlapping species (i.e. species with records in both databases: DAISIE and GISD/IASPMR)";"Record concerns species that is listed among 'Europe's Worst IAS' according to EEA (2007) Halting the loss of biodiversity by 2010: proposal for a first set of indicators to monitor progress in Europe. EEA Technical Report No. 11/2007. European Environment Agency, Copenhagen, DK.";"Record concerns species that is listed among the '100 of the Worst IAS' in DAISIE
(www.europe-aliens.org)";"Record concerns species that is listed among the '100 of the Worst IAS' in GISD
(www.iucngisd.org)"
"Phlomis tuberosa";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Phlomis tuberosa";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Phlox drummondii";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Phlox drummondii";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Phlox paniculata";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Phlox paniculata";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Phlox paniculata";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Phlox subulata";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Phlox subulata";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Phoenicococcus marlatti  Coccoidea";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phoenicopterus ruber";"Vertebrates";"multiple";"Escape from confinement";"Botanical garden/zoo/aquaria";"intentional";"G";;;;
"Phoenicopterus ruber";"Vertebrates";"multiple";"Escape from confinement";"Botanical garden/zoo/aquaria";"intentional";"G";;;;
"Phoenix canariensis";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";"x";;;
"Phoenix canariensis";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";"x";;;
"Phoenix canariensis";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"G";"x";;;
"Phoenix dactylifera";"Plants";"terrestrial";"Escape from confinement";"Agriculture";"intentional";"D";;;;
"Phoenix dactylifera";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Phoenix dactylifera";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Phoenix dactylifera";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Phoracantha recurva";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phoracantha recurva";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phoracantha semipunctata";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phormium tenax";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Phoronis hippocrepia";"Invertebrates";"marine";"Transport - Contaminant & Stowaway";"Other transport as stowaway";"unintentional";"D";;;;
"Phoronis psammophila";"Invertebrates";"marine";"Transport - Contaminant & Stowaway";"Other transport as stowaway";"unintentional";"D";;;;
"Phoronopsis harmeri";"Invertebrates";"marine";"Transport - Contaminant & Stowaway";"Other transport as stowaway";"unintentional";"D";;;;
"Photinia beauverdiana var. beauverdiana";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Photinia floribunda";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Photinia floribunda";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Photinia floribunda";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Photinia serratifolia";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Photis lamellifera";"Invertebrates";"marine";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"D";;;;
"Photoblepharon palpebratum";"Vertebrates";"marine";"Escape from confinement";"Botanical garden/zoo/aquaria";"intentional";"G";;;;
"Photoblepharon palpebratum";"Vertebrates";"marine";"Escape from confinement";"Botanical garden/zoo/aquaria";"intentional";"G";;;;
"Phoxinus phoxinus";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"D";"x";;;
"Phoxinus phoxinus";"Vertebrates";"freshwater";"Escape from confinement";"Ornamental purpose";"intentional";"D";"x";;;
"Phoxinus phoxinus";"Vertebrates";"freshwater";"Release in nature";"Fishery in the wild";"intentional";"D";"x";;;
"Phoxinus phoxinus";"Vertebrates";"freshwater";"Escape from confinement";"Ornamental purpose";"intentional";"G";"x";;;
"Phractocephalus hemiliopterus";"Vertebrates";"freshwater";"Escape from confinement";"Botanical garden/zoo/aquaria";"intentional";"G";;;;
"Phractocephalus hemiliopterus";"Vertebrates";"freshwater";"Escape from confinement";"Botanical garden/zoo/aquaria";"intentional";"G";;;;
"Phragmites australis";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"G";;;;
"Phragmites australis";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"G";;;;
"Phragmites australis";"Plants";"terrestrial";"Release in Nature";"Erosion control/ dune stabilization";"intentional";"G";;;;
"Phragmites australis";"Plants";"terrestrial";"Release in Nature";"Landscape/flora/fauna improvement";"intentional";"G";;;;
"Phryneta leprosa";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phrynosoma cornutum";"Vertebrates";"terrestrial";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;
"Phrynosoma cornutum";"Vertebrates";"terrestrial";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;
"Phrynosoma cornutum";"Vertebrates";"terrestrial";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;
"Phrynosoma cornutum";"Vertebrates";"terrestrial";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;
"Phrynosoma cornutum";"Vertebrates";"terrestrial";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;
"Phrynosoma cornutum";"Vertebrates";"terrestrial";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;
"Phrynosoma cornutum";"Vertebrates";"terrestrial";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;
"Phrynosoma cornutum";"Vertebrates";"terrestrial";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;
"Phrynosoma cornutum";"Vertebrates";"terrestrial";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;
"Phrynosoma cornutum";"Vertebrates";"terrestrial";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;
"Phrynosoma cornutum";"Vertebrates";"terrestrial";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;
"Phthorimaea operculella";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";"Seed contaminant";"unintentional";"D";;;;
"Phuopsis stylosa";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Phuopsis stylosa";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Phuopsis stylosa";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Phygelius capensis";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Phyllanthus tenellus";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Phyllanthus tenellus";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";"Transportation of habitat material";"unintentional";"D";;;;
"Phyllitis scolopendrium";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Phyllocnistis citrella";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phyllocnistis vitegenella";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phyllodiplosis cocciferae";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phyllodiplosis cocciferae";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phyllodiplosis cocciferae";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phyllonorycter issikii";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phyllonorycter messaniella";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phyllonorycter robiniella";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phyllonorycter strigulatella";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phyllonorycter strigulatella";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phyllorhiza punctata";"Invertebrates";"marine";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"D";"x";;;
"Phyllorhiza punctata";"Invertebrates";"marine";"Transport - Contaminant & Stowaway";"Ship/boat ballast water";"unintentional";"G";"x";;;
"Phyllorhiza punctata";"Invertebrates";"marine";"Transport - Contaminant & Stowaway";"Hitchhikers on ship/boat ";"unintentional";"G";"x";;;
"Phyllostachys aurea";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Phyllostachys bambusoides";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Phyllostachys nigra";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Phyllostachys nigra";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Phyllostachys pubescens";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Phyllostachys viridiglaucescens";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Phymatocera aterrima";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phymatocera aterrima";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Physa acuta";"Invertebrates";"freshwater";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;
"Physa sp.";"Invertebrates";"marine";"Transport - Contaminant & Stowaway";"Other transport as stowaway";"unintentional";"D";;;;
"Physalis alkekengi";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Physalis alkekengi";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Physalis alkekengi";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Physalis alkekengi";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Physalis alkekengi";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Physalis angulata";"Plants";"terrestrial";"Escape from confinement";"Agriculture";"intentional";"D";;;;
"Physalis angulata";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Physalis angulata";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Physalis angulata";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Physalis cinerascens";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Physalis grisea";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Physalis ixocarpa";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Physalis ixocarpa";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Physalis ixocarpa";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Physalis ixocarpa";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Physalis lanceolata";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Physalis longifolia var. subglabrata";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";"Seed contaminant";"unintentional";"D";;;;
"Physalis longifolia var. subglabrata";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Physalis minima";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Physalis peruviana";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Physalis peruviana";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Physalis peruviana";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Physalis peruviana";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Physalis philadelphica";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Physalis philadelphica";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Physalis pubescens";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Physalis pubescens";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Physalis pubescens";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Physalis pubescens";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";"Seed contaminant";"unintentional";"D";;;;
"Physella acuta";"Invertebrates";"freshwater";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Physella gyrina";"Invertebrates";"freshwater";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Physella heterostropha";"Invertebrates";"freshwater";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Physella heterostropha";"Invertebrates";"freshwater";"Transport - Contaminant & Stowaway";"Other transport as stowaway";"unintentional";"D";;;;
"Physella integra";"Invertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"D";;;;
"Physignathus cocincinus";"Vertebrates";"multiple";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;
"Physignathus cocincinus";"Vertebrates";"multiple";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;
"Physignathus cocincinus";"Vertebrates";"multiple";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;
"Physignathus lesueurii";"Vertebrates";"multiple";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;
"Physocarpus opulifolius";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Physocarpus opulifolius";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Physocarpus opulifolius";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Physocarpus opulifolius";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Physostegia virginiana";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Phyteuma nigrum";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Phyteuma spicatum";"Plants";"terrestrial";"Escape from confinement";"Agriculture";"intentional";"D";;;;
"Phyteuma spicatum";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Phytolacca acinosa";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Phytolacca americana";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Phytolacca americana";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Phytolacca americana";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Phytolacca americana";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Phytolacca americana";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Phytolacca dioica";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Phytolacca esculenta";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Phytolacca esculenta";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Phytolacca esculenta";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Phytolacca heterotepala";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Phytoliriomyza jacarandae";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phytophthora alni";"Other";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phytophthora alni";"Other";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phytophthora alni";"Other";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phytophthora cactorum";"Other";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phytophthora cactorum";"Other";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phytophthora cactorum";"Other";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phytophthora cambivora";"Other";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phytophthora cambivora";"Other";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phytophthora cinnamomi";"Other";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";"x";"x";"x";"x"
"Phytophthora cinnamomi";"Other";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";"x";"x";"x";"x"
"Phytophthora cinnamomi";"Other";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";"x";"x";"x";"x"
"Phytophthora cinnamomi";"Other";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";"x";"x";"x";"x"
"Phytophthora cinnamomi";"Other";"terrestrial";"Transport - Contaminant & Stowaway";"Parasites on plants";"unintentional";"G";"x";"x";"x";"x"
"Phytophthora cinnamomi";"Other";"terrestrial";"Transport - Contaminant & Stowaway";"Parasites on plants";"unintentional";"G";"x";"x";"x";"x"
"Phytophthora cinnamomi";"Other";"terrestrial";"Transport - Contaminant & Stowaway";"Parasites on plants";"unintentional";"G";"x";"x";"x";"x"
"Phytophthora citricola";"Other";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phytophthora citricola";"Other";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phytophthora citricola";"Other";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phytophthora citrophthora";"Other";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phytophthora citrophthora";"Other";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phytophthora drechsleri";"Other";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phytophthora drechsleri";"Other";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phytophthora drechsleri";"Other";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phytophthora europaea";"Other";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phytophthora gonapodyides";"Other";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phytophthora hedraiandra";"Other";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phytophthora hedraiandra";"Other";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phytophthora ilicis";"Other";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phytophthora ilicis";"Other";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phytophthora inundata";"Other";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phytophthora lateralis";"Other";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";"x";;;
"Phytophthora lateralis";"Other";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";"x";;;
"Phytophthora lateralis";"Other";"terrestrial";"Transport - Contaminant & Stowaway";"Parasites on plants";"unintentional";"G";"x";;;
"Phytophthora lateralis";"Other";"terrestrial";"Transport - Contaminant & Stowaway";"Parasites on plants";"unintentional";"G";"x";;;
"Phytophthora lateralis";"Other";"terrestrial";"Transport - Contaminant & Stowaway";"Parasites on plants";"unintentional";"G";"x";;;
"Phytophthora megasperma";"Other";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phytophthora palmivora";"Other";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phytophthora polonica";"Other";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phytophthora pseudosyringae";"Other";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phytophthora quercina";"Other";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phytophthora ramorum";"Other";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";"x";;;
"Phytophthora ramorum";"Other";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";"x";;;
"Phytophthora ramorum";"Other";"terrestrial";"Transport - Contaminant & Stowaway";"Parasites on plants";"unintentional";"G";"x";;;
"Phytophthora syringae";"Other";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Phytoseiulus persimilis";"Invertebrates";"terrestrial";"Release in nature";"Biological control";"intentional";"D";;;;
"Piaractus brachypomus";"Vertebrates";"freshwater";"Escape from confinement";"Botanical garden/zoo/aquaria";"intentional";"G";;;;
"Piaractus brachypomus";"Vertebrates";"freshwater";"Escape from confinement";"Botanical garden/zoo/aquaria";"intentional";"G";;;;
"Piaractus brachypomus";"Vertebrates";"freshwater";"Escape from confinement";"Botanical garden/zoo/aquaria";"intentional";"G";;;;
"Piaractus brachypomus";"Vertebrates";"freshwater";"Escape from confinement";"Botanical garden/zoo/aquaria";"intentional";"G";;;;
"Piaractus brachypomus";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Piaractus brachypomus";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Piaractus brachypomus";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Piaractus brachypomus";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Piaractus brachypomus";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Piaractus brachypomus";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Piaractus brachypomus";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Piaractus brachypomus";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Piaractus brachypomus";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Piaractus brachypomus";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Piaractus brachypomus";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Piaractus brachypomus";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Piaractus brachypomus";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Piaractus brachypomus";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Piaractus brachypomus";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Piaractus brachypomus";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Piaractus brachypomus";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Piaractus brachypomus";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Piaractus brachypomus";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Piaractus brachypomus";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Piaractus brachypomus";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Piaractus brachypomus";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Piaractus brachypomus";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Piaractus brachypomus";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Piaractus brachypomus";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Piaractus brachypomus";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Piaractus mesopotamicus";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"D";"x";;;
"Piaractus mesopotamicus";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";"x";;;
"Piaractus mesopotamicus";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";"x";;;
"Piaractus mesopotamicus";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";"x";;;
"Piaractus mesopotamicus";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";"x";;;
"Picea abies";"Plants";"terrestrial";"Escape from confinement";"Forestry";"intentional";"D";;;;
"Picea abies";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Picea glauca";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Picea glauca";"Plants";"terrestrial";"Escape from confinement";"Forestry";"intentional";"D";;;;
"Picea glauca";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Picea glauca";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Picea omorika";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Picea pungens";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Picea pungens";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Picea sitchensis";"Plants";"terrestrial";"Escape from confinement";"Forestry";"intentional";"D";;;;
"Picea sitchensis";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Picea sitchensis";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Picnomon acarna";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";"Seed contaminant";"unintentional";"D";;;;
"Picris echioides";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Picris echioides";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Picris echioides";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Picris echioides";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
